Pair,Gap
280,7.000000000090267e-06
281,1.4000000000180535e-05
282,0.0
283,9.999999999621423e-06
284,7.000000000090267e-06
285,1.4000000000180535e-05
286,9.999999999621423e-06
287,0.0
288,1.4000000000180535e-05
289,7.000000000090267e-06
290,7.000000000090267e-06
291,2.9999999995311555e-06
292,0.0
293,1.4000000000180535e-05
294,2.9999999995311555e-06
295,9.999999999621423e-06
296,3.999999998782755e-06
297,2.9999999995311555e-06
298,9.999999999621423e-06
299,4.000000000559112e-06
300,1.4000000000180535e-05
301,9.999999999621423e-06
302,7.000000000090267e-06
303,1.4000000000180535e-05
304,2.9999999995311555e-06
305,0.0
306,1.4000000000180535e-05
307,9.999999999621423e-06
308,3.999999998782755e-06
309,2.9999999995311555e-06
310,0.0
311,1.4000000000180535e-05
312,1.4000000000180535e-05
313,0.0
314,7.000000000090267e-06
315,9.999999999621423e-06
316,4.000000000559112e-06
317,2.9999999995311555e-06
318,9.999999999621423e-06
319,0.0
320,1.4000000000180535e-05
321,0.0
322,7.000000000090267e-06
323,1.0000000010279564e-06
324,1.4000000000180535e-05
325,2.9999999995311555e-06
326,2.9999999995311555e-06
327,9.999999999621423e-06
328,1.4000000000180535e-05
329,0.0
330,7.000000000090267e-06
331,9.999999992515995e-07
332,7.000000000090267e-06
333,0.0
334,4.000000000559112e-06
335,2.9999999995311555e-06
336,0.0
337,9.999999999621423e-06
338,1.0000000010279564e-06
339,3.0000000013075123e-06
340,2.9999999995311555e-06
341,7.000000000090267e-06
342,7.000000000090267e-06
343,4.000000000559112e-06
344,0.0
345,7.000000000090267e-06
346,1.4000000000180535e-05
347,1.000000000139778e-05
348,7.000000000090267e-06
349,1.4000000000180535e-05
350,9.999999999621423e-06
351,9.999999992515995e-07
352,1.4000000000180535e-05
353,7.000000000090267e-06
354,7.000000000090267e-06
355,0.0
356,1.4000000000180535e-05
357,9.999999999621423e-06
358,7.000000000090267e-06
359,2.9999999995311555e-06
360,7.000000000090267e-06
361,0.0
362,7.000000000090267e-06
363,4.000000000559112e-06
364,1.4000000000180535e-05
365,1.000000000139778e-05
366,7.000000000090267e-06
367,9.999999992515995e-07
368,2.9999999995311555e-06
369,7.000000000090267e-06
370,4.000000000559112e-06
371,4.000000000559112e-06
372,1.4000000000180535e-05
373,1.000000000139778e-05
374,4.000000000559112e-06
375,1.3999999998404178e-05
376,2.9999999995311555e-06
377,0.0
378,4.000000000559112e-06
379,1.4000000000180535e-05
380,1.000000000139778e-05
381,4.000000000559112e-06
382,3.0000000013075123e-06
383,7.000000000090267e-06
384,4.000000000559112e-06
385,1.3999999998404178e-05
386,1.000000000139778e-05
387,7.000000000090267e-06
388,1.0000000010279564e-06
389,1.3999999998404178e-05
390,2.9999999995311555e-06
391,7.000000000090267e-06
392,4.000000000559112e-06
393,1.4000000000180535e-05
394,0.0
395,9.999999999621423e-06
396,9.999999992515995e-07
397,3.0000000013075123e-06
398,9.999999999621423e-06
399,1.4000000000180535e-05
400,9.999999999621423e-06
401,6.9999999983139105e-06
402,3.0000000013075123e-06
403,6.9999999983139105e-06
404,3.0000000013075123e-06
405,9.999999999621423e-06
406,7.000000000090267e-06
407,4.000000000559112e-06
408,7.000000000090267e-06
409,0.0
410,1.4000000000180535e-05
411,1.3999999998404178e-05
412,1.000000000139778e-05
413,1.4000000000180535e-05
414,9.999999999621423e-06
415,7.000000000090267e-06
416,3.0000000013075123e-06
417,0.0
418,9.999999999621423e-06
419,9.999999992515995e-07
420,1.4000000000180535e-05
421,7.000000000090267e-06
422,0.0
423,7.000000000090267e-06
424,2.9999999995311555e-06
425,7.000000000090267e-06
426,3.999999998782755e-06
427,1.4000000000180535e-05
428,7.000000000090267e-06
429,3.999999998782755e-06
430,1.4000000000180535e-05
431,0.0
432,7.000000000090267e-06
433,7.000000000090267e-06
434,1.4000000000180535e-05
435,7.000000000090267e-06
436,4.000000000559112e-06
437,2.9999999995311555e-06
438,9.999999999621423e-06
439,3.999999998782755e-06
440,1.4000000000180535e-05
441,2.9999999995311555e-06
442,7.000000000090267e-06
443,0.0
444,7.000000000090267e-06
445,1.4000000000180535e-05
446,7.000000000090267e-06
447,9.999999999621423e-06
448,7.000000000090267e-06
449,1.4000000000180535e-05
450,2.9999999995311555e-06
451,7.000000000090267e-06
452,4.000000000559112e-06
453,1.4000000000180535e-05
454,1.4000000000180535e-05
455,9.999999999621423e-06
456,7.000000000090267e-06
457,1.0000000010279564e-06
458,7.000000000090267e-06
459,9.999999999621423e-06
460,1.4000000000180535e-05
461,7.000000000090267e-06
462,7.000000000090267e-06
463,9.999999992515995e-07
464,2.9999999995311555e-06
465,0.0
466,3.999999998782755e-06
467,0.0
